FreelanceID,StudentID,TrackName,JobDescribtion,Tool,Platform,Duration,Cost
65,67,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power Query,Mostaqel,11,232
66,68,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power Query,Upwork,12,166
67,69,PowerBI,Optimize Power BI reports for performance and responsiveness,SQL Server,Upwork,10,147
68,70,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Gateway,Upwork,8,18
69,70,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Tabular Editor,Upwork,17,40
70,70,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Tabular Editor,Upwork,14,258
71,70,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power Automate,Upwork,14,112
72,72,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,M Query,khamsat,17,85
73,73,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Tabular Editor,khamsat,16,84
74,74,PowerBI,Optimize Power BI reports for performance and responsiveness,Power Query,Mostaqel,5,132
75,75,PowerBI,Extract transform and load data from various sources into Power BI for analysis,M Query,Upwork,8,96
76,76,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power Query,Mostaqel,15,266
77,76,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI Gateway,khamsat,5,160
78,77,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Desktop,Mostaqel,12,70
79,78,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI Service,khamsat,6,383
80,79,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI,Mostaqel,20,141
81,80,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,M Query,khamsat,6,298
82,81,PowerBI,Extract transform and load data from various sources into Power BI for analysis,DAX,Mostaqel,17,41
83,81,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power BI Service,Mostaqel,12,35
84,84,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,SQL Server,Upwork,5,297
85,84,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power Automate,khamsat,12,59
86,85,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power Automate,Mostaqel,18,6
87,86,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI Gateway,khamsat,15,115
88,86,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Tabular Editor,Mostaqel,15,382
89,88,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Service,khamsat,12,371
90,88,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,SQL Server,Mostaqel,8,156
91,89,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power BI Gateway,Upwork,19,378
92,91,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,Power Query,Mostaqel,9,271
93,93,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,SQL Server,khamsat,17,16
94,95,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Desktop,Upwork,19,190
95,96,PowerBI,Optimize Power BI reports for performance and responsiveness,Power BI Desktop,Mostaqel,9,279
96,99,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Service,Mostaqel,9,229
97,99,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power BI Gateway,Upwork,10,130
98,99,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,DAX,Mostaqel,14,301
99,100,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power Query,Upwork,5,126
100,100,PowerBI,Optimize Power BI reports for performance and responsiveness,M Query,khamsat,16,7
156,101,Interior Design,Ensure designs comply with building codes regulations,RoomSketcher,Upwork,7,114
206,101,Interior Design,Develop detailed design plans including layouts and color schemes,Design Milk,Upwork,20,346
175,102,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,AutoCAD,khamsat,18,169
130,103,Interior Design,Ensure designs comply with building codes regulations,Blender,Mostaqel,16,29
137,104,Interior Design,Stay updated on current interior design trends and industry innovations,AutoCAD,khamsat,8,101
174,105,Interior Design,Coordinate with contractors and vendors for seamless project execution,SketchUp,Upwork,8,171
200,105,Interior Design,Ensure designs comply with building codes regulations,RoomSketcher,khamsat,9,154
115,107,Interior Design,and safety standards,Procore,khamsat,15,211
124,107,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,RoomSketcher,Upwork,15,258
162,108,Interior Design,Develop detailed design plans including layouts and color schemes,Design Milk,Upwork,19,101
238,108,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Revit,Mostaqel,12,78
117,110,Interior Design,Provide expertise in space planning and optimization for various environments,Revit,khamsat,19,34
188,110,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Trello,Mostaqel,10,44
228,110,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Trello,khamsat,19,119
143,112,Interior Design,Provide expertise in space planning and optimization for various environments,Procore,khamsat,19,101
148,112,Interior Design,and safety standards,Blender,khamsat,20,380
223,112,Interior Design,and safety standards,Pinterest,khamsat,19,161
185,113,Interior Design,Manage and oversee interior design projects from concept to completion,SketchUp,Upwork,17,398
147,115,Interior Design,and safety standards,Pinterest,Upwork,12,284
196,115,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Blender,Upwork,8,290
209,116,Interior Design,and safety standards,Blender,Upwork,12,188
240,116,Interior Design,Coordinate with contractors and vendors for seamless project execution,Procore,Mostaqel,19,92
102,117,Interior Design,Stay updated on current interior design trends and industry innovations,Procore,khamsat,11,255
129,118,Interior Design,Stay updated on current interior design trends and industry innovations,Procore,Mostaqel,19,262
208,118,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,AutoCAD,Upwork,7,182
163,120,Interior Design,Stay updated on current interior design trends and industry innovations,Revit,Upwork,10,232
249,121,Interior Design,Utilize 3D rendering tools to present design concepts to clients,SketchUp,Upwork,7,395
123,122,Interior Design,Manage and oversee interior design projects from concept to completion,SketchUp,Upwork,13,67
101,123,Interior Design,Develop detailed design plans including layouts and color schemes,Houzz,khamsat,6,202
144,123,Interior Design,Provide expertise in space planning and optimization for various environments,Pinterest,khamsat,18,297
105,124,Interior Design,Develop detailed design plans including layouts and color schemes,Trello,khamsat,16,170
187,132,Interior Design,Coordinate with contractors and vendors for seamless project execution,Blender,khamsat,6,225
189,132,Interior Design,Develop detailed design plans including layouts and color schemes,AutoCAD,Upwork,5,392
207,133,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Pinterest,Mostaqel,13,290
125,134,Interior Design,Utilize 3D rendering tools to present design concepts to clients,RoomSketcher,Mostaqel,7,225
108,138,Interior Design,Stay updated on current interior design trends and industry innovations,Pinterest,khamsat,11,389
146,138,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Procore,Mostaqel,19,5
134,139,Interior Design,Develop detailed design plans including layouts and color schemes,Pinterest,Mostaqel,10,146
110,140,Interior Design,Provide expertise in space planning and optimization for various environments,Trello,khamsat,11,92
180,141,Interior Design,Stay updated on current interior design trends and industry innovations,Revit,khamsat,7,349
221,141,Interior Design,Ensure designs comply with building codes regulations,RoomSketcher,khamsat,6,377
160,143,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Procore,khamsat,16,165
140,144,Interior Design,Stay updated on current interior design trends and industry innovations,AutoCAD,khamsat,14,135
153,144,Interior Design,Develop detailed design plans including layouts and color schemes,SketchUp,khamsat,12,168
204,144,Interior Design,Provide expertise in space planning and optimization for various environments,Procore,khamsat,11,50
211,145,Interior Design,Provide expertise in space planning and optimization for various environments,Trello,khamsat,8,237
231,145,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Pinterest,Upwork,20,342
112,147,Interior Design,Utilize 3D rendering tools to present design concepts to clients,AutoCAD,Upwork,16,132
118,147,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Houzz,Upwork,15,382
173,147,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Design Milk,Mostaqel,8,90
224,149,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,Design Milk,Mostaqel,7,353
103,150,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Pinterest,khamsat,19,126
127,150,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,Design Milk,Mostaqel,5,394
116,151,Interior Design,Ensure designs comply with building codes regulations,Procore,Mostaqel,20,304
138,151,Interior Design,Manage and oversee interior design projects from concept to completion,Procore,Mostaqel,15,398
107,154,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Blender,Mostaqel,20,59
133,154,Interior Design,Manage and oversee interior design projects from concept to completion,RoomSketcher,Mostaqel,5,232
194,155,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,Houzz,khamsat,15,53
164,156,Interior Design,Provide expertise in space planning and optimization for various environments,Revit,khamsat,6,211
237,156,Interior Design,Ensure designs comply with building codes regulations,Pinterest,Upwork,17,351
242,156,Interior Design,Stay updated on current interior design trends and industry innovations,Design Milk,Mostaqel,7,109
151,158,Interior Design,and safety standards,AutoCAD,Mostaqel,5,376
171,158,Interior Design,Provide expertise in space planning and optimization for various environments,Trello,Upwork,19,166
152,159,Interior Design,Develop detailed design plans including layouts and color schemes,Design Milk,khamsat,13,242
157,159,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Design Milk,Upwork,15,216
212,159,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,Blender,khamsat,13,34
170,163,Interior Design,Coordinate with contractors and vendors for seamless project execution,Houzz,Upwork,20,127
243,163,Interior Design,Ensure designs comply with building codes regulations,Blender,Mostaqel,18,120
218,167,Interior Design,Develop detailed design plans including layouts and color schemes,SketchUp,Mostaqel,10,180
232,168,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Pinterest,Mostaqel,8,25
168,169,Interior Design,and safety standards,Houzz,Mostaqel,20,286
236,169,Interior Design,Ensure designs comply with building codes regulations,SketchUp,Mostaqel,16,275
248,169,Interior Design,Ensure designs comply with building codes regulations,Pinterest,Upwork,20,271
109,170,Interior Design,and safety standards,Pinterest,khamsat,5,321
121,173,Interior Design,Develop detailed design plans including layouts and color schemes,RoomSketcher,Mostaqel,8,214
245,173,Interior Design,and safety standards,Blender,Upwork,17,354
119,174,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Houzz,Upwork,12,258
106,176,Interior Design,Develop detailed design plans including layouts and color schemes,Design Milk,khamsat,20,272
113,176,Interior Design,Stay updated on current interior design trends and industry innovations,Pinterest,Upwork,18,307
178,176,Interior Design,Stay updated on current interior design trends and industry innovations,Design Milk,Upwork,12,348
169,177,Interior Design,Utilize 3D rendering tools to present design concepts to clients,AutoCAD,khamsat,13,102
216,177,Interior Design,Utilize 3D rendering tools to present design concepts to clients,RoomSketcher,khamsat,20,381
222,177,Interior Design,Stay updated on current interior design trends and industry innovations,AutoCAD,khamsat,7,374
234,179,Interior Design,Coordinate with contractors and vendors for seamless project execution,Design Milk,Upwork,16,314
202,181,Interior Design,Ensure designs comply with building codes regulations,Pinterest,Mostaqel,14,75
128,182,Interior Design,Stay updated on current interior design trends and industry innovations,SketchUp,khamsat,13,6
181,182,Interior Design,Provide expertise in space planning and optimization for various environments,SketchUp,khamsat,19,371
220,182,Interior Design,Coordinate with contractors and vendors for seamless project execution,Pinterest,Upwork,17,367
111,184,Interior Design,Ensure designs comply with building codes regulations,Houzz,Mostaqel,6,322
161,187,Interior Design,Stay updated on current interior design trends and industry innovations,Houzz,khamsat,18,318
166,187,Interior Design,Provide expertise in space planning and optimization for various environments,Design Milk,Mostaqel,17,117
135,188,Interior Design,Develop detailed design plans including layouts and color schemes,Pinterest,Upwork,16,158
192,189,Interior Design,Stay updated on current interior design trends and industry innovations,Houzz,khamsat,10,361
132,190,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Trello,khamsat,15,56
226,190,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Revit,Upwork,18,359
139,191,Interior Design,Manage and oversee interior design projects from concept to completion,Revit,Mostaqel,19,239
217,191,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Houzz,Mostaqel,13,343
183,193,Interior Design,Provide expertise in space planning and optimization for various environments,SketchUp,Upwork,9,347
210,194,Interior Design,and safety standards,Blender,khamsat,20,88
233,194,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Design Milk,Mostaqel,14,26
219,196,Interior Design,Develop detailed design plans including layouts and color schemes,Houzz,khamsat,16,224
244,199,Interior Design,Coordinate with contractors and vendors for seamless project execution,Procore,Mostaqel,13,108
239,200,Interior Design,Ensure designs comply with building codes regulations,Trello,khamsat,17,220
184,201,Interior Design,Stay updated on current interior design trends and industry innovations,AutoCAD,khamsat,12,393
154,202,Interior Design,Utilize 3D rendering tools to present design concepts to clients,RoomSketcher,Mostaqel,5,231
155,202,Interior Design,and safety standards,AutoCAD,Upwork,9,331
158,202,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Trello,Mostaqel,10,300
195,207,Interior Design,Coordinate with contractors and vendors for seamless project execution,Procore,khamsat,17,57
122,208,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Houzz,Upwork,13,109
150,209,Interior Design,Ensure designs comply with building codes regulations,Houzz,khamsat,17,101
193,210,Interior Design,and safety standards,AutoCAD,Upwork,7,367
126,213,Interior Design,Manage and oversee interior design projects from concept to completion,Pinterest,khamsat,15,171
246,213,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,AutoCAD,khamsat,20,266
230,214,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Pinterest,Upwork,16,181
145,215,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Design Milk,khamsat,12,33
247,215,Interior Design,Utilize 3D rendering tools to present design concepts to clients,SketchUp,khamsat,5,54
114,217,Interior Design,Ensure designs comply with building codes regulations,Houzz,khamsat,11,126
159,217,Interior Design,Coordinate with contractors and vendors for seamless project execution,AutoCAD,Upwork,16,168
201,219,Interior Design,Coordinate with contractors and vendors for seamless project execution,Design Milk,khamsat,9,129
149,221,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,AutoCAD,khamsat,9,161
172,221,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Trello,khamsat,7,290
120,222,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,Blender,khamsat,8,126
136,222,Interior Design,Provide expertise in space planning and optimization for various environments,Trello,Mostaqel,10,150
198,222,Interior Design,and safety standards,Design Milk,khamsat,8,258
177,225,Interior Design,Coordinate with contractors and vendors for seamless project execution,RoomSketcher,Mostaqel,9,254
203,225,Interior Design,and safety standards,Procore,Mostaqel,19,348
179,226,Interior Design,Ensure designs comply with building codes regulations,SketchUp,Upwork,13,253
190,227,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Procore,khamsat,15,383
131,228,Interior Design,Stay updated on current interior design trends and industry innovations,Revit,khamsat,17,335
182,229,Interior Design,Ensure designs comply with building codes regulations,Revit,khamsat,15,46
141,230,Interior Design,Ensure designs comply with building codes regulations,SketchUp,khamsat,10,152
205,230,Interior Design,Manage and oversee interior design projects from concept to completion,SketchUp,Mostaqel,15,243
167,231,Interior Design,Stay updated on current interior design trends and industry innovations,Houzz,khamsat,14,263
186,233,Interior Design,Develop detailed design plans including layouts and color schemes,Revit,khamsat,13,296
176,235,Interior Design,Utilize 3D rendering tools to present design concepts to clients,SketchUp,Upwork,15,280
215,236,Interior Design,Manage and oversee interior design projects from concept to completion,Pinterest,khamsat,20,76
241,236,Interior Design,and safety standards,AutoCAD,Mostaqel,8,72
142,238,Interior Design,Coordinate with contractors and vendors for seamless project execution,Houzz,Mostaqel,5,62
199,239,Interior Design,Source and select furniture fixtures and materials to enhance interior spaces,SketchUp,Mostaqel,8,343
229,239,Interior Design,Stay updated on current interior design trends and industry innovations,Blender,Upwork,10,131
197,241,Interior Design,Ensure designs comply with building codes regulations,Design Milk,khamsat,7,357
227,241,Interior Design,Coordinate with contractors and vendors for seamless project execution,Pinterest,Upwork,9,111
213,242,Interior Design,Manage and oversee interior design projects from concept to completion,Blender,Mostaqel,12,247
214,242,Interior Design,Manage and oversee interior design projects from concept to completion,AutoCAD,khamsat,14,296
235,242,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,AutoCAD,Mostaqel,7,233
104,243,Interior Design,Coordinate with contractors and vendors for seamless project execution,RoomSketcher,khamsat,18,240
165,245,Interior Design,Manage and oversee interior design projects from concept to completion,Design Milk,khamsat,20,379
225,245,Interior Design,ollaborate with clients to understand their preferences needs and lifestyle,Blender,Mostaqel,10,323
191,249,Interior Design,Coordinate with contractors and vendors for seamless project execution,Blender,khamsat,17,66
250,250,Interior Design,Utilize 3D rendering tools to present design concepts to clients,Procore,khamsat,8,363
264,251,Cyber Security Associate,Stay informed about the latest cybersecurity threats and technologies,SIEM,khamsat,11,265
270,251,Cyber Security Associate,Stay informed about the latest cybersecurity threats and technologies,Splunk,Mostaqel,15,179
289,251,Cyber Security Associate,Assist in the development and implementation of incident response plans,SIEM,Mostaqel,10,81
253,252,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Nessus,Mostaqel,9,53
285,252,Cyber Security Associate,Respond to and investigate security incidents to prevent future occurrences,Nessus,khamsat,18,326
288,252,Cyber Security Associate,Perform regular security audits and ensure compliance with industry standards,GRC tools,Mostaqel,10,395
263,253,Cyber Security Associate,Collaborate with vendors and third-party partners to assess and improve overall cybersecurity posture,Qualys,khamsat,13,97
275,254,Cyber Security Associate,Collaborate with vendors and third-party partners to assess and improve overall cybersecurity posture,Nessus,khamsat,9,186
268,257,Cyber Security Associate,Assist in the development and implementation of incident response plans,Nessus,Upwork,15,27
281,257,Cyber Security Associate,Implement and manage security measures to protect information systems and networks,CyberArk,Upwork,10,43
292,257,Cyber Security Associate,Stay informed about the latest cybersecurity threats and technologies,Splunk,Upwork,16,156
265,261,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,CyberArk,Upwork,19,308
280,261,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,KnowBe4,khamsat,13,85
287,262,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Forensic tools,khamsat,9,326
254,263,Cyber Security Associate,Perform regular security audits and ensure compliance with industry standards,SIEM,Upwork,6,380
272,264,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Splunk,Mostaqel,17,310
284,264,Cyber Security Associate,Stay informed about the latest cybersecurity threats and technologies,RiskWatch,Upwork,6,276
267,266,Cyber Security Associate,Implement and manage security measures to protect information systems and networks,RiskWatch,khamsat,5,272
274,266,Cyber Security Associate,Stay informed about the latest cybersecurity threats and technologies,KnowBe4,khamsat,17,129
291,266,Cyber Security Associate,Collaborate with vendors and third-party partners to assess and improve overall cybersecurity posture,CyberArk,Upwork,10,280
266,267,Cyber Security Associate,Monitor and analyze security alerts to respond promptly to potential threats,SIEM,khamsat,19,355
297,270,Cyber Security Associate,Monitor and analyze security alerts to respond promptly to potential threats,CyberArk,Mostaqel,11,263
251,271,Cyber Security Associate,Assist in the development and implementation of incident response plans,SIEM,Upwork,10,257
255,271,Cyber Security Associate,Conduct security awareness training for employees to mitigate human-related risks,RiskWatch,khamsat,18,256
262,272,Cyber Security Associate,Monitor and analyze security alerts to respond promptly to potential threats,RiskWatch,khamsat,16,6
257,275,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Threat Intelligence platforms,Upwork,7,355
273,275,Cyber Security Associate,Respond to and investigate security incidents to prevent future occurrences,Splunk,Upwork,11,229
295,275,Cyber Security Associate,Respond to and investigate security incidents to prevent future occurrences,CyberArk,khamsat,15,113
283,276,Cyber Security Associate,Perform regular security audits and ensure compliance with industry standards,RiskWatch,khamsat,17,383
294,277,Cyber Security Associate,Perform regular security audits and ensure compliance with industry standards,SIEM,Upwork,7,112
290,280,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Threat Intelligence platforms,Mostaqel,10,20
293,282,Cyber Security Associate,Conduct security awareness training for employees to mitigate human-related risks,GRC tools,Mostaqel,17,257
298,282,Cyber Security Associate,Implement and manage security measures to protect information systems and networks,Qualys,khamsat,7,350
299,284,Cyber Security Associate,Implement and manage security measures to protect information systems and networks,Qualys,Upwork,13,186
276,286,Cyber Security Associate,Monitor and analyze security alerts to respond promptly to potential threats,RiskWatch,khamsat,7,384
278,287,Cyber Security Associate,Conduct security awareness training for employees to mitigate human-related risks,Qualys,Mostaqel,8,261
252,288,Cyber Security Associate,Collaborate with vendors and third-party partners to assess and improve overall cybersecurity posture,SIEM,khamsat,8,127
256,288,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,KnowBe4,Mostaqel,5,378
258,289,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,CyberArk,khamsat,13,187
279,289,Cyber Security Associate,Conduct security awareness training for employees to mitigate human-related risks,Splunk,khamsat,13,377
296,289,Cyber Security Associate,Collaborate with vendors and third-party partners to assess and improve overall cybersecurity posture,RiskWatch,Mostaqel,8,185
286,290,Cyber Security Associate,Collaborate with IT teams to implement and maintain security policies and procedures,Splunk,Mostaqel,10,91
269,292,Cyber Security Associate,Respond to and investigate security incidents to prevent future occurrences,Threat Intelligence platforms,Upwork,10,183
277,293,Cyber Security Associate,Assist in the development and implementation of incident response plans,CyberArk,Upwork,8,156
